"Main.group" "Scientific.Name" "Common.name" "Conservation.action.needed" "Avoid.negative.impacts"
"324" "Terrestrial invertebrates" "Watsonalla binaria" "Oak Hook-tip" "-" "-"
"325" "Terrestrial invertebrates" "Xanthia gilvago" "Dusky-lemon Sallow" "-" "-"
"326" "Terrestrial invertebrates" "Xanthia icteritia" "Sallow" "-" "-"
"327" "Terrestrial invertebrates" "Xanthorhoe decoloraria" "Red Carpet" "-" "-"
"328" "Terrestrial invertebrates" "Xanthorhoe ferrugata" "Dark-barred Twin-spot Carpet" "-" "-"
"329" "Terrestrial invertebrates" "Xestia agathina" "Heath Rustic" "-" "-"
"330" "Terrestrial invertebrates" "Xestia alpicola" "Northern Dart" "Yes" "-"
"331" "Terrestrial invertebrates" "Xestia castanea" "Neglected Rustic" "-" "-"
"332" "Terrestrial invertebrates" "Xylena exsoleta" "Sword-grass" "-" "-"
"333" "Terrestrial invertebrates" "Zygaena exulans subsp. subochracea" "Scotch Burnet" "-" "-"
"334" "Terrestrial invertebrates" "Zygaena lonicerae subsp. jocelynae" "Narrow-bordered Five-spot Burnet" "-" "-"
"335" "Terrestrial invertebrates" "Zygaena loti subsp. scotica" "Slender Scotch Burnet" "Yes" "-"
"336" "Terrestrial invertebrates" "Zygaena purpuralis subsp. caledonensis" "Transparent Burnet" "-" "-"
"337" "Terrestrial invertebrates" "Zygaena viciae subsp. argyllensis" "New Forest Burnet" "Yes" "-"
"338" "Terrestrial invertebrates" "Leptophyes punctatissima" "Speckled Bush-cricket" "-" "-"
"339" "Terrestrial invertebrates" "Metrioptera brachyptera" "Bog Bush-cricket" "-" "-"
"340" "Terrestrial invertebrates" "Agroeca cuprea" "Golden Lantern-spider" "Yes" "-"
"341" "Terrestrial invertebrates" "Centromerus levitarsis" "a money spider" "Yes" "Yes"
"342" "Terrestrial invertebrates" "Clubiona subsultans" "a spider" "Yes" "Yes"
"343" "Terrestrial invertebrates" "Dictyna major" "a mesh-webbed spider" "Yes" "Yes"
"344" "Terrestrial invertebrates" "Dictyna pusilla" "Small Mesh-weaver" "Yes" "-"
"345" "Terrestrial invertebrates" "Dipoena torva" "a spider" "Yes" "Yes"
"346" "Terrestrial invertebrates" "Erigone welchi" "Welch's Money-spider" "Yes" "-"
"347" "Terrestrial invertebrates" "Haplodrassus soerenseni" "a spider" "Yes" "Yes"
"348" "Terrestrial invertebrates" "Palliduphantes antroniensis" "a money spider" "Yes" "Yes"
"349" "Terrestrial invertebrates" "Mecopisthes peusi" "Peus's Long-back Spider" "Yes" "-"
"350" "Terrestrial invertebrates" "Mecynargus paetulus" "a money spider" "Yes" "Yes"
"351" "Terrestrial invertebrates" "Monocephalus castaneipes" "Broad Groove-head Spider" "-" "-"
"352" "Terrestrial invertebrates" "Notioscopus sarcinatus" "Swamp Lookout Spider" "Yes" "-"
"353" "Terrestrial invertebrates" "Philodromus margaritatus" "Lichen Running-spider" "Yes" "-"
"354" "Terrestrial invertebrates" "Robertus scoticus" "a spider" "Yes" "Yes"
"355" "Terrestrial invertebrates" "Saaristoa firma" "Triangle Hammock-spider" "-" "-"
"356" "Terrestrial invertebrates" "Semljicola caliginosus" "Cloud-living Spider" "Yes" "-"
"357" "Terrestrial invertebrates" "Silometopus incurvatus" "Bend-bearing Blunt-brow Spider" "Yes" "-"
"358" "Terrestrial invertebrates" "Brachyptera putata" "Northern February Red" "-" "-"
"359" "Terrestrial invertebrates" "Hagenella clathrata" "Window Winged Sedge" "Yes" "Yes"
"360" "Terrestrial invertebrates" "Aquarius najas" "River Skater" "-" "-"
"361" "Terrestrial invertebrates" "Gerris (Gerris) gibbifer" "Pond Skater" "-" "-"
"362" "Terrestrial invertebrates" "Hebrus (Hebrusella) ruficeps" "Sphagnum Bug" "-" "-"
"363" "Terrestrial invertebrates" "Plea minutissima" "a pygmy backswimmer" "-" "-"
"364" "Terrestrial invertebrates" "Anasimyia transfuga" "a Hoverfly" "-" "-"
"365" "Terrestrial invertebrates" "Beris morrisii" "a Soldier Fly" "-" "-"
"366" "Terrestrial invertebrates" "Blera fallax" "Pine Hoverfly" "Yes" "Yes"
"367" "Terrestrial invertebrates" "Bolitophila bimaculata" "a fungus gnat" "-" "-"
"368" "Terrestrial invertebrates" "Botanophila fonsecai" "Fonseca's Seed Fly" "Yes" "-"
"369" "Terrestrial invertebrates" "Brachyopa insensilis" "a Hoverfly" "-" "-"
"370" "Terrestrial invertebrates" "Chamaesyrphus caledonicus" "a Hoverfly" "Yes" "Yes"
"371" "Terrestrial invertebrates" "Cheilosia chrysocoma" "a Hoverfly" "-" "-"
"372" "Terrestrial invertebrates" "Cheilosia latifrons" "Hoverfly" "-" "-"
"373" "Terrestrial invertebrates" "Cheilosia sahlbergi" "a Hoverfly" "Yes" "Yes"
"374" "Terrestrial invertebrates" "Cliorismia rustica" "Southern Silver Stiletto-fly" "Yes" "-"
"375" "Terrestrial invertebrates" "Clusiodes geomyzinus" "Strathspey Clusiid Fly" "Yes" "-"
"376" "Terrestrial invertebrates" "Diadocidia valida" "a fungus gnat" "-" "-"
"377" "Terrestrial invertebrates" "Dicranomyia omissinervis" "a cranefly" "-" "-"
"378" "Terrestrial invertebrates" "Dictenidia bimaculata" "a cranefly" "-" "-"
"379" "Terrestrial invertebrates" "Doros profuges" "Phantom Hoverfly" "Yes" "Yes"
"380" "Terrestrial invertebrates" "Dysmachus trigonus" "a Robber Fly" "-" "-"
"381" "Terrestrial invertebrates" "Hammerschmidtia ferruginea" "Aspen Hoverfly" "Yes" "Yes"
"382" "Terrestrial invertebrates" "Neocnemodon pubescens" "Hoverfly" "-" "-"
"383" "Terrestrial invertebrates" "Hilara medeteriformis" "a dance fly" "-" "-"
"384" "Terrestrial invertebrates" "Laphria flava" "a Robber Fly" "-" "-"
"385" "Terrestrial invertebrates" "Leptarthrus brevirostris" "a Robber Fly" "Yes" "-"
"386" "Terrestrial invertebrates" "Lipsothrix ecucullata" "Scottish Yellow Splinter" "Yes" "-"
"387" "Terrestrial invertebrates" "Lipsothrix errans" "Northern Yellow Splinter" "Yes" "-"
"388" "Terrestrial invertebrates" "Lipsothrix nervosa" "Southern Yellow Splinter" "-" "-"
"389" "Terrestrial invertebrates" "Lonchaea ragnari" "Viking Sword Fly" "Yes" "-"
"390" "Terrestrial invertebrates" "Medetera excellens" "a dolichopodid fly" "-" "-"
"391" "Terrestrial invertebrates" "Melangyna barbifrons" "a Hoverfly" "-" "-"
"392" "Terrestrial invertebrates" "Melangyna ericarum" "a Hoverfly" "-" "-"
"393" "Terrestrial invertebrates" "Mycomya rosalba" "a fungus gnat" "-" "-"
"394" "Terrestrial invertebrates" "Nephrotoma aculeata" "a cranefly" "Yes" "Yes"
"395" "Terrestrial invertebrates" "Nephrotoma analis" "a cranefly" "-" "-"
"396" "Terrestrial invertebrates" "Nephrotoma cornicina" "a cranefly" "-" "-"
"397" "Terrestrial invertebrates" "Nephrotoma guestfalica" "a cranefly" "-" "-"
"398" "Terrestrial invertebrates" "Nephrotoma lunulicornis" "a cranefly" "-" "-"
"399" "Terrestrial invertebrates" "Nephrotoma scurra" "a cranefly" "-" "-"
"400" "Terrestrial invertebrates" "Nigrotipula nigra" "a cranefly" "-" "-"
"401" "Terrestrial invertebrates" "Oxycera pygmaea" "a Soldier Fly" "-" "-"
"402" "Terrestrial invertebrates" "Pamponerus germanicus" "a Robber Fly" "-" "-"
"403" "Terrestrial invertebrates" "Parasyrphus nigritarsis" "a Hoverfly" "Yes" "Yes"
"404" "Terrestrial invertebrates" "Phronia persimilis" "a fungus gnat" "-" "-"
"405" "Terrestrial invertebrates" "Phronia sylvatica" "a fungus gnat" "-" "-"
"406" "Terrestrial invertebrates" "Platycheirus amplus" "a Hoverfly" "-" "-"
"407" "Terrestrial invertebrates" "Prionocera pubescens" "a cranefly" "Yes" "Yes"
"408" "Terrestrial invertebrates" "Rhabdomastix japonica" "River-shore Cranefly" "Yes" "-"
"409" "Terrestrial invertebrates" "Rhabdomastix laeta" "a cranefly" "-" "-"
"410" "Terrestrial invertebrates" "Rhadiurgus variabilis" "Northern Robber Fly" "-" "-"
"411" "Terrestrial invertebrates" "Rhamphomyia hirtula" "Mountain Dance-fly" "Yes" "Yes"
"412" "Terrestrial invertebrates" "Rymosia speyae" "a fungus gnat" "Yes" "Yes"
"413" "Terrestrial invertebrates" "Sphaerophoria loewi" "a Hoverfly" "Yes" "Yes"
"414" "Terrestrial invertebrates" "Sphegina sibirica" "a Hoverfly" "-" "-"
"415" "Terrestrial invertebrates" "Spiriverpa lunulata" "Stiletto-fly" "-" "-"
"416" "Terrestrial invertebrates" "Stratiomys chamaeleon" "a soldier fly" "Yes" "Yes"
"417" "Terrestrial invertebrates" "Strongylophthalmyia ustulata" "a tanypezid fly" "Yes" "Yes"
"418" "Terrestrial invertebrates" "Tanyptera atrata" "a cranefly" "-" "-"
"419" "Terrestrial invertebrates" "Tanyptera nigricornis" "a cranefly" "-" "-"
"420" "Terrestrial invertebrates" "Themira gracilis" "a small dung fly" "-" "-"
"421" "Terrestrial invertebrates" "Thereva handlirschi" "a Stiletto fly" "-" "-"
"422" "Terrestrial invertebrates" "Thereva valida" "a Stiletto fly" "-" "-"
"423" "Terrestrial invertebrates" "Tipula bistilata" "a cranefly" "Yes" "Yes"
"424" "Terrestrial invertebrates" "Tipula cava" "a cranefly" "-" "-"
"425" "Terrestrial invertebrates" "Tipula hortorum" "a cranefly" "-" "-"
"426" "Terrestrial invertebrates" "Tipula invenusta" "a cranefly" "-" "-"
"427" "Terrestrial invertebrates" "Tipula laetabilis" "a cranefly" "Yes" "Yes"
"428" "Terrestrial invertebrates" "Tipula limbata" "a cranefly" "-" "-"
"429" "Terrestrial invertebrates" "Tipula luridorostris" "a cranefly" "-" "-"
"430" "Terrestrial invertebrates" "Tipula marginella" "a cranefly" "-" "-"
"431" "Terrestrial invertebrates" "Tipula melanoceros" "a cranefly" "-" "-"
"432" "Terrestrial invertebrates" "Tipula pabulina" "a cranefly" "-" "-"
"433" "Terrestrial invertebrates" "Wiedemannia simplex" "a dance fly" "Yes" "Yes"
"434" "Terrestrial invertebrates" "Arion (Kobeltia) hortensis" "Southern Garden Slug" "-" "-"
"435" "Terrestrial invertebrates" "Azeca goodalli" "Three-toothed Moss Snail" "-" "-"
"436" "Terrestrial invertebrates" "Backeljaia gigaxii" "a mollusc" "-" "-"
"437" "Terrestrial invertebrates" "Cecilioides (Cecilioides) acicula" "Blind (or Agate) Snail" "-" "-"
"438" "Terrestrial invertebrates" "Cochlodina (Cochlodina) laminata" "Plaited Door Snail" "-" "-"
"439" "Terrestrial invertebrates" "Ecrobia ventrosa" "Spire Snail" "-" "-"
"440" "Terrestrial invertebrates" "Monacha (Monacha) cantiana" "Kentish Snail" "-" "-"
"441" "Terrestrial invertebrates" "Omphiscola glabra" "Mud Pond Snail" "Yes" "Yes"
"442" "Terrestrial invertebrates" "Oxychilus (Oxychilus) navarricus subsp. helveticus" "Glossy Glass Snail" "-" "-"
"443" "Terrestrial invertebrates" "Euglesa conventus" "Alpine Peaclam" "-" "-"
"444" "Terrestrial invertebrates" "Succinella oblonga" "Small Amber Snail" "-" "-"
"445" "Terrestrial invertebrates" "Truncatellina cylindrica" "Cylindrical Whorl Snail" "Yes" "Yes"
"446" "Terrestrial invertebrates" "Vertigo (Vertigo) alpestris" "Mountain Whorl Snail" "-" "-"
"447" "Terrestrial invertebrates" "Vertigo (Vertigo) genesii" "Round-mouthed Whorl Snail" "Yes" "Yes"
"448" "Terrestrial invertebrates" "Vertigo (Vertigo) geyeri" "Geyer's Whorl Snail" "Yes" "Yes"
"449" "Terrestrial invertebrates" "Vertigo (Vertigo) modesta" "Cross Whorl Snail" "Yes" "Yes"
"450" "Terrestrial invertebrates" "Vertigo (Vertilla) angustior" "Narrow-mouthed Whorl Snail" "Yes" "Yes"
"451" "Aquatic invertebrates" "Hirudo medicinalis" "Medicinal Leech" "Yes" "Yes"
"452" "Aquatic invertebrates" "Austropotamobius pallipes" "Freshwater White-clawed Crayfish" "Yes" "Yes"
"453" "Aquatic invertebrates" "Triops cancriformis" "Tadpole Shrimp" "Yes" "Yes"
"454" "Aquatic invertebrates" "Agabus (Agabus) uliginosus" "a water beetle" "-" "-"
"455" "Aquatic invertebrates" "Heterocerus maritimus" "a water beetle" "-" "-"
"456" "Aquatic invertebrates" "Bagous (Abagous) lutulentus" "a water beetle" "-" "-"
"457" "Aquatic invertebrates" "Bagous (Bagous) collignensis" "a water beetle" "-" "-"
"458" "Aquatic invertebrates" "Berosus (Berosus) luridus" "a water beetle" "-" "-"
"459" "Aquatic invertebrates" "Bidessus minutissimus" "Minutest Diving Beetle" "Yes" "Yes"
"460" "Aquatic invertebrates" "Cercyon (Cercyon) alpinus" "a water beetle" "-" "-"
"461" "Aquatic invertebrates" "Cercyon (Cercyon) convexiusculus" "a water beetle" "-" "-"
"462" "Aquatic invertebrates" "Cercyon (Cercyon) depressus" "a water beetle" "-" "-"
"463" "Aquatic invertebrates" "Cercyon (Cercyon) melanocephalus" "a water beetle" "-" "-"
"464" "Aquatic invertebrates" "Cercyon (Cercyon) nigriceps" "a water beetle" "-" "-"
"465" "Aquatic invertebrates" "Cercyon (Cercyon) quisquilius" "a water beetle" "-" "-"
"466" "Aquatic invertebrates" "Cercyon (Cercyon) terminatus" "a water beetle" "-" "-"
"467" "Aquatic invertebrates" "Cryptopleurum minutum" "a water beetle" "-" "-"
"468" "Aquatic invertebrates" "Contacyphon kongsbergensis" "a water beetle" "-" "-"
"469" "Aquatic invertebrates" "Contacyphon ochraceus" "a water beetle" "-" "-"
"470" "Aquatic invertebrates" "Contacyphon pubescens" "a water beetle" "-" "-"
"471" "Aquatic invertebrates" "Contacyphon punctipennis" "a water beetle" "-" "-"
"472" "Aquatic invertebrates" "Donacia aquatica" "Zircon Reed Beetle" "Yes" "-"
"473" "Aquatic invertebrates" "Donacia cinerea" "a Reed beetle" "-" "-"
"474" "Aquatic invertebrates" "Donacia crassipes" "Water-Lily Reed Beetle" "-" "-"
"475" "Aquatic invertebrates" "Donacia impressa" "a Reed beetle" "-" "-"
"476" "Aquatic invertebrates" "Donacia marginata" "a Reed beetle" "-" "-"
"477" "Aquatic invertebrates" "Donacia obscura" "a Reed beetle" "-" "-"
"478" "Aquatic invertebrates" "Donacia sparganii" "a Reed beetle" "-" "-"
"479" "Aquatic invertebrates" "Donacia thalassina" "a Reed beetle" "-" "-"
"480" "Aquatic invertebrates" "Donacia vulgaris" "a Reed beetle" "-" "-"
"481" "Aquatic invertebrates" "Dryops (Dryops) similaris" "a water beetle" "-" "-"
"482" "Aquatic invertebrates" "Dryops (Yrdops) nitidulus" "a water beetle" "-" "-"
"483" "Aquatic invertebrates" "Elodes minuta" "a water beetle" "-" "-"
"484" "Aquatic invertebrates" "Elodes pseudominuta" "a water beetle" "-" "-"
"485" "Aquatic invertebrates" "Enochrus quadripunctatus" "a water beetle" "-" "-"
"486" "Aquatic invertebrates" "Enochrus testaceus" "a water beetle" "-" "-"
"487" "Aquatic invertebrates" "Gyrinus distinctus" "a water beetle" "-" "-"
"488" "Aquatic invertebrates" "Gyrinus paykulli" "a water beetle" "-" "-"
"489" "Aquatic invertebrates" "Gyrinus suffriani" "a water beetle" "Yes" "Yes"
"490" "Aquatic invertebrates" "Haliplus (Haliplinus) apicalis" "a water beetle" "-" "-"
"491" "Aquatic invertebrates" "Helochares punctatus" "a water beetle" "-" "-"
"492" "Aquatic invertebrates" "Helophorus (Cyphelophorus) tuberculatus" "a water beetle" "Yes" "Yes"
"493" "Aquatic invertebrates" "Helophorus (Empleurus) porculus" "a water beetle" "-" "-"
"494" "Aquatic invertebrates" "Helophorus (Helophorus) griseus" "a water beetle" "-" "-"
"495" "Aquatic invertebrates" "Helophorus (Trichohelophorus) alternans" "a water beetle" "-" "-"
"496" "Aquatic invertebrates" "Heterocerus flexuosus" "a water beetle" "-" "-"
"497" "Aquatic invertebrates" "Heterocerus fossor" "a water beetle" "-" "-"
"498" "Aquatic invertebrates" "Hydraena pulchella" "a water beetle" "Yes" "Yes"
"499" "Aquatic invertebrates" "Hydraena pygmaea" "a water beetle" "Yes" "Yes"
"500" "Aquatic invertebrates" "Hydrochus angustatus" "a water beetle" "-" "-"
"501" "Aquatic invertebrates" "Hydrochus brevis" "a water beetle" "-" "-"
"502" "Aquatic invertebrates" "Hydrochus elongatus" "a water beetle" "-" "-"
"503" "Aquatic invertebrates" "Hydroporus elongatulus" "a water beetle" "Yes" "Yes"
"504" "Aquatic invertebrates" "Hydroporus glabriusculus" "a water beetle" "Yes" "Yes"
"505" "Aquatic invertebrates" "Hydroporus longulus" "a water beetle" "-" "-"
"506" "Aquatic invertebrates" "Hydroporus rufifrons" "Oxbow Diving Beetle" "Yes" "Yes"
"507" "Aquatic invertebrates" "Hygrotus (Hygrotus) versicolor" "a water beetle" "-" "-"
"508" "Aquatic invertebrates" "Ilybius wasastjernae" "a water beetle" "Yes" "Yes"
"509" "Aquatic invertebrates" "Laccobius atratus" "a water beetle" "-" "-"
"510" "Aquatic invertebrates" "Liopterus haemorrhoidalis" "a water beetle" "-" "-"
"511" "Aquatic invertebrates" "Megasternum concinnum" "a water beetle" "-" "-"
"512" "Aquatic invertebrates" "Ochthebius (Asiobates) auriculatus" "a water beetle" "-" "-"
"513" "Aquatic invertebrates" "Ochthebius (Hymenodes) punctatus" "a water beetle" "-" "-"
"514" "Aquatic invertebrates" "Ochthebius (Ochthebius) lenensis" "a water beetle" "Yes" "Yes"
"515" "Aquatic invertebrates" "Ochthebius (Ochthebius) viridis" "a water beetle" "-" "-"
"516" "Aquatic invertebrates" "Oreodytes alpinus" "a water beetle" "Yes" "Yes"
"517" "Aquatic invertebrates" "Pelenomus canaliculatus" "a water beetle" "-" "-"
"518" "Aquatic invertebrates" "Plateumaris rustica" "a water beetle" "-" "-"
"519" "Aquatic invertebrates" "Poophagus sisymbrii" "a water beetle" "-" "-"
"520" "Aquatic invertebrates" "Prionocyphon serricornis" "a water beetle" "-" "-"
"521" "Aquatic invertebrates" "Rhantus (Rhantus) frontalis" "a water beetle" "-" "-"
"522" "Aquatic invertebrates" "Rhantus (Rhantus) suturalis" "a water beetle" "-" "-"
"523" "Aquatic invertebrates" "Scirtes hemisphaericus" "a water beetle" "-" "-"
"524" "Aquatic invertebrates" "Sphaeridium bipustulatum" "a water beetle" "-" "-"
"525" "Aquatic invertebrates" "Sphaeridium lunatum" "a water beetle" "-" "-"
"526" "Aquatic invertebrates" "Sphaeridium scarabaeoides" "a water beetle" "-" "-"
"527" "Aquatic invertebrates" "Thryogenes nereis" "a water beetle" "-" "-"
"528" "Aquatic invertebrates" "Coenagrion hastulatum" "Northern Damselfly" "Yes" "Yes"
"529" "Aquatic invertebrates" "Nigrobaetis niger" "Iron Blue Mayfly" "-" "-"
"530" "Aquatic invertebrates" "Anodonta (Anodonta) cygnea" "Swan Mussel" "-" "-"
"531" "Aquatic invertebrates" "Margaritifera (Margaritifera) margaritifera" "Freshwater Pearl Mussel" "Yes" "Yes"
"532" "Aquatic invertebrates" "Euglesa henslowana" "Henslow's Pea Mussel" "-" "-"
"533" "Aquatic invertebrates" "Theodoxus (Theodoxus) fluviatilis" "River nerite" "-" "-"
"534" "Vascular plants" "Ajuga pyramidalis" "Pyramidal Bugle" "-" "-"
"535" "Vascular plants" "Alchemilla glaucescens" "Lady's Mantle" "-" "-"
"536" "Vascular plants" "Allium oleraceum" "Field Garlic" "Yes" "Yes"
"537" "Vascular plants" "Alopecurus myosuroides" "Black-grass" "Yes" "-"
"538" "Vascular plants" "Lysimachia arvensis" "Scarlet Pimpernel" "Yes" "-"
"539" "Vascular plants" "Apium graveolens" "Wild Celery" "-" "-"
"540" "Vascular plants" "Arabis alpina" "Alpine Rock-cress" "Yes" "Yes"
"541" "Vascular plants" "Arenaria norvegica" "Arctic Sandwort" "Yes" "Yes"
"542" "Vascular plants" "Artemisia norvegica" "Norwegian Mugwort" "Yes" "Yes"
"543" "Vascular plants" "Astragalus alpinus" "Alpine Milk-vetch" "Yes" "Yes"
"544" "Vascular plants" "Astragalus danicus" "Purple Milk-vetch" "-" "-"
"545" "Vascular plants" "Bartsia alpina" "Alpine Bartsia" "-" "-"
"546" "Vascular plants" "Blysmus compressus" "Flat-sedge" "-" "-"
"547" "Vascular plants" "Brassica oleracea" "Wild Cabbage" "-" "-"
"548" "Vascular plants" "Bromus secalinus" "Rye Brome" "Yes" "Yes"
"549" "Vascular plants" "Calamagrostis purpurea" "Scandinavian Small-reed" "-" "-"
"550" "Vascular plants" "Calamagrostis scotica" "Scottish Small-reed" "Yes" "Yes"
"551" "Vascular plants" "Calamagrostis stricta" "Narrow Small-reed" "Yes" "Yes"
"552" "Vascular plants" "Callitriche obtusangula" "Blunt-fruited Water-starwort" "-" "-"
"553" "Vascular plants" "Callitriche palustris" "Narrow-fruited Water-starwort" "Yes" "Yes"
"554" "Vascular plants" "Campanula glomerata" "Clustered Bellflower" "Yes" "-"
"555" "Vascular plants" "Campanula rapunculus" "Rampion Bellflower" "Yes" "Yes"
"556" "Vascular plants" "Cardamine impatiens" "Narrow-leaved Bitter-cress" "-" "-"
"557" "Vascular plants" "Carex appropinquata" "Fibrous Tussock-sedge" "-" "-"
"558" "Vascular plants" "Carex atrofusca" "Scorched Alpine-sedge" "Yes" "Yes"
"559" "Vascular plants" "Carex buxbaumii" "Club Sedge" "Yes" "Yes"
"560" "Vascular plants" "Carex chordorrhiza" "String Sedge" "-" "-"
"561" "Vascular plants" "Carex divulsa" "Grey Sedge" "-" "-"
"562" "Vascular plants" "Carex elata" "Tufted-sedge" "-" "-"
"563" "Vascular plants" "Carex elongata" "Elongated Sedge" "-" "-"
"564" "Vascular plants" "Carex lachenalii" "Hare's-foot Sedge" "-" "-"
"565" "Vascular plants" "Carex maritima" "Curved Sedge" "Yes" "-"
"566" "Vascular plants" "Carex microglochin" "Bristle Sedge" "Yes" "Yes"
"567" "Vascular plants" "Carex norvegica" "Close-headed Alpine-sedge" "-" "-"
"568" "Vascular plants" "Carex punctata" "Dotted Sedge" "-" "-"
"569" "Vascular plants" "Carex rariflora" "Mountain Bog-sedge" "-" "-"
"570" "Vascular plants" "Carex recta" "Estuarine Sedge" "Yes" "Yes"
"571" "Vascular plants" "Carum carvi" "Caraway" "Yes" "-"
"572" "Vascular plants" "Centaurea cyanus" "Cornflower" "Yes" "-"
"573" "Vascular plants" "Centaurea scabiosa" "Greater Knapweed" "Yes" "-"
"574" "Vascular plants" "Centaurium pulchellum" "Lesser Centaury" "-" "-"
"575" "Vascular plants" "Cephalanthera longifolia" "Narrow-leaved Helleborine" "-" "-"
"576" "Vascular plants" "Cerastium arcticum" "Arctic Mouse-ear" "-" "-"
"577" "Vascular plants" "Cerastium fontanum subsp. scoticum" "Scottish Mouse-ear" "Yes" "Yes"
"578" "Vascular plants" "Cerastium nigrescens" "Shetland Mouse-ear" "Yes" "Yes"
"579" "Vascular plants" "Chelidonium majus" "Greater Celandine" "Yes" "-"
"580" "Vascular plants" "Blitum bonus-henricus" "Good-King-Henry" "Yes" "-"
"581" "Vascular plants" "Cicerbita alpina" "Alpine Blue-sow-thistle" "Yes" "Yes"
"582" "Vascular plants" "Cichorium intybus" "Chicory" "Yes" "-"
"583" "Vascular plants" "Clinopodium acinos" "Basil Thyme" "Yes" "Yes"
"584" "Vascular plants" "Cochlearia micacea" "Mountain Scurvygrass" "-" "-"
"585" "Vascular plants" "Cochlearia officinalis subsp. scotica" "Scottish Scurvygrass" "Yes" "-"
"586" "Vascular plants" "Dactylorhiza viridis" "Frog Orchid" "-" "-"
"587" "Vascular plants" "Lepidium coronopus" "Swine-cress" "Yes" "-"
"588" "Vascular plants" "Crassula aquatica" "Pigmyweed" "Yes" "Yes"
"589" "Vascular plants" "Crepis mollis" "Northern Hawk's-beard" "Yes" "Yes"
"590" "Vascular plants" "Crithmum maritimum" "Rock Samphire" "Yes" "-"
"591" "Vascular plants" "Dactylorhiza majalis" "Hebridean Marsh-orchid" "Yes" "Yes"
"592" "Vascular plants" "Dactylorhiza purpurella subsp. cambrensis" "Welsh Marsh-orchid" "Yes" "-"
"593" "Vascular plants" "Diapensia lapponica" "Diapensia" "Yes" "Yes"
"594" "Vascular plants" "Draba incana" "Hoary Whitlowgrass" "Yes" "-"
"595" "Vascular plants" "Eleocharis mamillata subsp. austriaca" "Northern Spike-rush" "-" "-"
"596" "Vascular plants" "Eleocharis parvula" "Dwarf Spike-rush" "-" "Yes"
"597" "Vascular plants" "Epipactis leptochila" "Narrow-lipped Helleborine" "-" "-"
"598" "Vascular plants" "Epipactis palustris" "Marsh Helleborine" "-" "-"
"599" "Vascular plants" "Erigeron borealis" "Alpine Fleabane" "Yes" "Yes"
"600" "Vascular plants" "Eriocaulon aquaticum" "Pipewort" "-" "-"
"601" "Vascular plants" "Erodium lebelii" "Sticky Stork's-bill" "-" "-"
"602" "Vascular plants" "Erodium maritimum" "Sea Stork's-bill" "-" "-"
"603" "Vascular plants" "Erodium moschatum" "Musk Stork's-bill" "-" "-"
"604" "Vascular plants" "Eryngium maritimum" "Sea-holly" "Yes" "-"
"605" "Vascular plants" "Euphorbia helioscopia" "Sun Spurge" "Yes" "-"
"606" "Vascular plants" "Euphrasia officinalis" "English Sticky Eyebright" "Yes" "Yes"
"607" "Vascular plants" "Euphrasia campbelliae" "an Eyebright" "Yes" "Yes"
"608" "Vascular plants" "Euphrasia heslop-harrisonii" "an Eyebright" "-" "-"
"609" "Vascular plants" "Euphrasia marshallii" "an Eyebright" "Yes" "Yes"
"610" "Vascular plants" "Euphrasia ostenfeldii" "an Eyebright" "Yes" "Yes"
"611" "Vascular plants" "Euphrasia rostkoviana subsp. montana" "an Eyebright" "Yes" "Yes"
"612" "Vascular plants" "Euphrasia rotundifolia" "an Eyebright" "Yes" "Yes"
"613" "Vascular plants" "Fallopia convolvulus" "Black-bindweed" "Yes" "-"
"614" "Vascular plants" "Filago germanica" "Common Cudweed" "Yes" "-"
"615" "Vascular plants" "Filipendula vulgaris" "Dropwort" "-" "-"
"616" "Vascular plants" "Fumaria capreolata" "White Ramping-fumitory" "Yes" "-"
"617" "Vascular plants" "Fumaria purpurea" "Purple Ramping-fumitory" "-" "-"
"618" "Vascular plants" "Galeopsis speciosa" "Large-flowered Hemp-nettle" "Yes" "-"
"619" "Vascular plants" "Gentiana nivalis" "Alpine Gentian" "-" "Yes"
"620" "Vascular plants" "Gentianella campestris" "Field Gentian" "-" "-"
"621" "Vascular plants" "Gentianella uliginosa" "Dune Gentian" "Yes" "Yes"
"622" "Vascular plants" "Geranium columbinum" "Long-stalked Crane's-bill" "Yes" "-"
"623" "Vascular plants" "Gnaphalium sylvaticum" "Heath Cudweed" "Yes" "-"
"624" "Vascular plants" "Hieracium attenuatifolium" "Laxo Burn Hawkweed" "Yes" "Yes"
"625" "Vascular plants" "Hieracium backhousei" "Backhouse's Hawkweed" "Yes" "Yes"
"626" "Vascular plants" "Hieracium calvum" "Bald-leaved Hawkweed" "Yes" "Yes"
"627" "Vascular plants" "Hieracium graniticola" "Granite Hawkweed" "Yes" "Yes"
"628" "Vascular plants" "Hieracium grovesii" "Grove's Hawkweed" "Yes" "Yes"
"629" "Vascular plants" "Hieracium insigne" "Noble Hawkweed" "Yes" "Yes"
"630" "Vascular plants" "Hieracium kennethii" "Kenneth's Hawkweed" "Yes" "Yes"
"631" "Vascular plants" "Hieracium larigense" "Lairig Hawkweed" "Yes" "Yes"
"632" "Vascular plants" "Hieracium leptodon" "Narrow-toothed Hawkweed" "Yes" "Yes"
"633" "Vascular plants" "Hieracium macrocarpum" "Large-fruited Hawkweed" "Yes" "Yes"
