"Main.group" "Scientific.Name" "Common.name" "Conservation.action.needed" "Avoid.negative.impacts"
"85" "Birds" "Mergellus albellus" "Smew" "-" "Yes"
"86" "Birds" "Milvus milvus" "Red Kite" "-" "Yes"
"87" "Birds" "Motacilla flava" "Yellow Wagtail" "Yes" "Yes"
"88" "Birds" "Muscicapa striata" "Spotted Flycatcher" "Yes" "Yes"
"89" "Birds" "Numenius arquata" "Curlew" "Yes" "Yes"
"90" "Birds" "Oceanodroma leucorhoa" "Leach's Storm-petrel" "Yes" "Yes"
"91" "Birds" "Pandion haliaetus" "Osprey" "-" "Yes"
"92" "Birds" "Panurus biarmicus" "Bearded Tit" "Yes" "Yes"
"93" "Birds" "Passer domesticus" "House Sparrow" "-" "-"
"94" "Birds" "Passer montanus" "Tree Sparrow" "Yes" "-"
"95" "Birds" "Perdix perdix" "Grey Partridge" "Yes" "Yes"
"96" "Birds" "Pernis apivorus" "Honey-buzzard" "Yes" "Yes"
"97" "Birds" "Phalaropus lobatus" "Red-necked Phalarope" "Yes" "Yes"
"98" "Birds" "Calidris pugnax" "Ruff" "-" "Yes"
"99" "Birds" "Phylloscopus sibilatrix" "Wood Warbler" "Yes" "Yes"
"100" "Birds" "Plectrophenax nivalis" "Snow Bunting" "Yes" "Yes"
"101" "Birds" "Pluvialis apricaria" "Golden Plover" "-" "Yes"
"102" "Birds" "Podiceps auritus" "Slavonian Grebe" "Yes" "Yes"
"103" "Birds" "Podiceps grisegena" "Red-necked Grebe" "Yes" "Yes"
"104" "Birds" "Podiceps nigricollis" "Black-necked Grebe" "Yes" "Yes"
"105" "Birds" "Poecile montanus" "Willow Tit" "Yes" "-"
"106" "Birds" "Poecile palustris subsp. palustris/dresseri" "Marsh Tit" "-" "-"
"107" "Birds" "Porzana porzana" "Spotted Crake" "Yes" "Yes"
"108" "Birds" "Prunella modularis subsp. occidentalis" "Hedge Accentor" "-" "-"
"109" "Birds" "Puffinus mauretanicus" "Balearic Shearwater" "Yes" "Yes"
"110" "Birds" "Puffinus puffinus" "Manx Shearwater" "Yes" "Yes"
"111" "Birds" "Pyrrhocorax pyrrhocorax" "Red-billed Chough" "-" "Yes"
"112" "Birds" "Pyrrhula pyrrhula" "Bullfinch" "-" "-"
"113" "Birds" "Scolopax rusticola" "Woodcock" "Yes" "Yes"
"114" "Birds" "Stercorarius parasiticus" "Arctic Skua" "Yes" "Yes"
"115" "Birds" "Sterna dougallii" "Roseate Tern" "Yes" "Yes"
"116" "Birds" "Sterna hirundo" "Common Tern" "-" "Yes"
"117" "Birds" "Sterna paradisaea" "Arctic Tern" "-" "Yes"
"118" "Birds" "Thalasseus sandvicensis" "Sandwich Tern" "Yes" "Yes"
"119" "Birds" "Sternula albifrons" "Little Tern" "-" "Yes"
"120" "Birds" "Streptopelia turtur" "Turtle Dove" "Yes" "Yes"
"121" "Birds" "Sturnus vulgaris subsp. vulgaris" "Starling" "-" "Yes"
"122" "Birds" "Lyrurus tetrix" "Black Grouse" "Yes" "Yes"
"123" "Birds" "Tetrao urogallus" "Capercaillie" "Yes" "Yes"
"124" "Birds" "Tringa glareola" "Wood Sandpiper" "Yes" "Yes"
"125" "Birds" "Tringa ochropus" "Green Sandpiper" "Yes" "Yes"
"126" "Birds" "Troglodytes troglodytes subsp. fridariensis" "Fair Isle Wren" "Yes" "Yes"
"127" "Birds" "Troglodytes troglodytes subsp. hirtensis" "St Kilda Wren" "Yes" "Yes"
"128" "Birds" "Turdus iliacus" "Redwing" "Yes" "Yes"
"129" "Birds" "Turdus philomelos" "Song Thrush" "-" "Yes"
"130" "Birds" "Turdus philomelos subsp. hebridensis" "Hebridean Song Thrush" "Yes" "-"
"131" "Birds" "Turdus torquatus" "Ring Ouzel" "Yes" "Yes"
"132" "Birds" "Tyto alba" "Barn Owl" "Yes" "Yes"
"133" "Birds" "Vanellus vanellus" "Northern Lapwing" "Yes" "Yes"
"134" "Fish" "Acipenser sturio" "Sturgeon" "Yes" "Yes"
"135" "Fish" "Alosa alosa" "Allis Shad" "Yes" "Yes"
"136" "Fish" "Alosa fallax" "Twaite Shad" "Yes" "Yes"
"137" "Fish" "Anguilla anguilla" "Eel" "-" "-"
"138" "Fish" "Coregonus albula" "Vendace" "Yes" "Yes"
"139" "Fish" "Coregonus lavaretus" "Powan" "Yes" "Yes"
"140" "Fish" "Osmerus eperlanus" "Smelt" "Yes" "-"
"141" "Fish" "Salmo salar" "Atlantic Salmon" "Yes" "Yes"
"142" "Fish" "Salmo trutta" "Sea Trout" "Yes" "-"
"143" "Fish" "Salvelinus alpinus" "Arctic Charr" "-" "-"
"144" "Fish" "Lampetra fluviatilis" "River Lamprey" "-" "Yes"
"145" "Fish" "Lampetra planeri" "Brook Lamprey" "-" "Yes"
"146" "Fish" "Petromyzon marinus" "Sea Lamprey" "-" "Yes"
"147" "Terrestrial invertebrates" "Anacaena limbata" "Scavenger Water Beetle" "-" "-"
"148" "Terrestrial invertebrates" "Bembidion (Ocydromus) testaceum" "Pale Pin-palp" "Yes" "-"
"149" "Terrestrial invertebrates" "Calosoma inquisitor" "Caterpillar-hunter" "-" "-"
"150" "Terrestrial invertebrates" "Chrysanthia geniculata" "a false blister beetle" "Yes" "Yes"
"151" "Terrestrial invertebrates" "Cryptocephalus decemmaculatus" "Ten-spotted Pot Beetle" "Yes" "Yes"
"152" "Terrestrial invertebrates" "Cryptocephalus sexpunctatus" "Six-spotted Pot Beetle" "Yes" "Yes"
"153" "Terrestrial invertebrates" "Eubrychius velutus" "a weevil" "-" "-"
"154" "Terrestrial invertebrates" "Macroplea appendiculata" "a leaf beetle" "-" "-"
"155" "Terrestrial invertebrates" "Meloe violaceus" "Violet Oil-beetle" "-" "-"
"156" "Terrestrial invertebrates" "Meotica moczarskii" "Shingle Rove Beetle" "Yes" "-"
"157" "Terrestrial invertebrates" "Noterus crassicornis" "Smaller Noterus" "-" "-"
"158" "Terrestrial invertebrates" "Philorhizus quadrisignatus" "Mab's Lantern" "Yes" "Yes"
"159" "Terrestrial invertebrates" "Procas granulicollis" "a weevil" "-" "-"
"160" "Terrestrial invertebrates" "Tournotaris bimaculatus" "a beetle" "-" "-"
"161" "Terrestrial invertebrates" "Aricia artaxerxes" "Northern Brown Argus" "-" "Yes"
