eventID;samplingProtocol;samplingEffort;sampleSizeValue;sampleSizeUnit;eventDate;eventTime;startDayOfYear;eventRemarks;country;countryCode;locality;locationID;decimalLatitudeSTART;decimalLongitudeSTART;decimalLatitudeEND;decimalLongitudeEND;geodeticDatum;coordinateUncertaintyInMeters;type;ownerInstitutionCode
SLowT-Tree;Transect walks;Average of 30 Minutes walk along transect;14,000;square metre;12/09/2023;16:00-16:30;255;;Scotland;GB-SCT;Lochranza, Isle of Arran;SLowT;55.699331;-5.284849;55.6981033;-5.2828772;WGS84;8;Event;
SMidT-Trees;Transect walks;Average of 30 Minutes walk along transect;14,000;square metre;13/09/2023;09:30-10:00;256;;Scotland;GB-SCT;Lochranza, Isle of Arran;SMidT;55.6986559;-5.2858015;55.6966166;-5.2833137;WGS84;8;Event;
SHighT-Trees;Transect walks;Average of 30 Minutes walk along transect;14,000;square metre;13/09/2023;10:23-10:53;256;;Scotland;GB-SCT;Lochranza, Isle of Arran;SHighT;55.6980744;-5.2874668;55.6962886;-5.286808;WGS84;8;Event;
NLowT-Trees;Transect walks;Average of 30 Minutes walk along transect;24,000;square metre;12/09/2023;16:00-16:30;255;;Scotland;GB-SCT;Lochranza, Isle of Arran;NLowT;55.7009082;-5.2708042;55.704307;-5.2799663;WGS84;8;Event;
NMidT-Trees;Transect walks;Average of 30 Minutes walk along transect;14,000;square metre;13/09/2023;10:05-10:42;256;None;Scotland;GB-SCT;Lochranza, Isle of Arran;NMidT;55.702472;-5.2707963;55.7059203;-5.2753271;WGS84;8;Event;
NHighT-Trees;Transect walks;Average of 30 Minutes walk along transect;14,000;square metre;13/09/2023;11:04-11:34;256;None;Scotland;GB-SCT;Lochranza, Isle of Arran;NHighT;55.70833;-5.27487;55.7048685;-5.269265;WGS84;8;Event;
