Species Name;Taxon Concept;Taxon Rank;Kingdom;Phylum;Class;Order;Family;Genus;Vernacular Name;Number of records
Dibaeis baeomyces;(L. f.) Rambold & Hertel;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Pertusariales;Icmadophilaceae;Dibaeis;Dibaeis baeomyces;1
Dicranomyia chorea;(Meigen, 1818);SPECIES;Animalia;Arthropoda;Insecta;Diptera;Limoniidae;Dicranomyia;Dicranomyia chorea;1
Dicranomyia distendens;Lundstr̦m, 1912;SPECIES;Animalia;Arthropoda;Insecta;Diptera;Limoniidae;Dicranomyia;Dicranomyia distendens;1
Dicranomyia mitis;(Meigen, 1830);SPECIES_SENSU_LATO;Animalia;Arthropoda;Insecta;Diptera;Limoniidae;Dicranomyia;;1
Digitalis purpurea;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Plantaginaceae;Digitalis;Digitalis purpurea;8
Drosera anglica;Huds.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Droseraceae;Drosera;Drosera anglica;4
Drosera rotundifolia;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Droseraceae;Drosera;Drosera rotundifolia;8
Dryopteris affinis subsp. affinis;(Lowe) Fraser-Jenk.;SUBSPECIES;Plantae;Pteridophyta;Polypodiopsida;Polypodiales;Dryopteridaceae;Dryopteris;Dryopteris affinis;1
Dryopteris affinis;(Lowe) Fraser-Jenk.;SPECIES;Plantae;Pteridophyta;Polypodiopsida;Polypodiales;Dryopteridaceae;Dryopteris;Dryopteris affinis;1
Dryopteris affinis;;SPECIES_SENSU_LATO;Plantae;Pteridophyta;Polypodiopsida;Polypodiales;Dryopteridaceae;Dryopteris;;1
Dryopteris borreri;(Newman) Newman ex Oberh. & Tavel;SPECIES;Plantae;Pteridophyta;Polypodiopsida;Polypodiales;Dryopteridaceae;Dryopteris;Dryopteris borreri;2
Dryopteris cambrensis;(Fraser-Jenk.) Beitel & W.R. Buck;SPECIES;Plantae;Pteridophyta;Polypodiopsida;Polypodiales;Dryopteridaceae;Dryopteris;Dryopteris cambrensis;4
Dryopteris dilatata;(Hoffm.) A. Gray;SPECIES;Plantae;Pteridophyta;Polypodiopsida;Polypodiales;Dryopteridaceae;Dryopteris;Dryopteris dilatata;4
Eleocharis multicaulis;(Sm.) Desv.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Cyperaceae;Eleocharis;Eleocharis multicaulis;6
Eleocharis palustris;(L.) Roem. & Schult.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Cyperaceae;Eleocharis;Eleocharis palustris;1
Enochrus affinis;(Thunberg, 1794);SPECIES;Animalia;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Enochrus;Enochrus affinis;1
