Species Name;Taxon Concept;Taxon Rank;Kingdom;Phylum;Class;Order;Family;Genus;Vernacular Name;Number of records
Narthecium ossifragum;(L.) Huds.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Dioscoreales;Nartheciaceae;Narthecium;Narthecium ossifragum;8
Neobisium (Neobisium) carcinoides;(Herman, 1804);SPECIES;Animalia;Arthropoda;Arachnida;Pseudoscorpiones;Neobisiidae;Neobisium;Neobisium carcinoides;1
Neovison vison;(Schreber, 1777);SPECIES;Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Neovison;Neovison vison;1
Numenius arquata;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Charadriiformes;Scolopacidae;Numenius;Numenius arquata;1
Nuphar lutea;(L.) Sm.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Nymphaeales;Nymphaeaceae;Nuphar;Nuphar lutea;2
Oenanthe crocata;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Apiales;Apiaceae;Oenanthe;Oenanthe crocata;2
Opegrapha vulgata;(Ach.) Ach.;SPECIES;Fungi;Ascomycota;Arthoniomycetes;Arthoniales;Roccellaceae;Opegrapha;Opegrapha vulgata;1
Oreodytes sanmarkii;(Sahlberg, C.R., 1826);SPECIES;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Oreodytes;Oreodytes sanmarkii;1
Oreopteris limbosperma;(All.) Holub;SPECIES;Plantae;Pteridophyta;Polypodiopsida;Polypodiales;Thelypteridaceae;Oreopteris;Oreopteris limbosperma;4
Orthetrum coerulescens;(Fabricius, 1798);SPECIES;Animalia;Arthropoda;Insecta;Odonata;Libellulidae;Orthetrum;Orthetrum coerulescens;3
Oxalis acetosella;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Oxalidales;Oxalidaceae;Oxalis;Oxalis acetosella;5
Pararge aegeria;(Linnaeus, 1758);SPECIES;Animalia;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Pararge;Pararge aegeria;1
Parmelia saxatilis s. lat.;;SPECIES_SENSU_LATO;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Parmelia;;1
Parmelia sulcata;Taylor;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Parmelia;Parmelia sulcata;1
Parmelina pastillifera;(Harm.) Hale;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Parmelina;Parmelina pastillifera;1
Parmotrema perlatum;(Huds.) M. Choisy;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Parmotrema;Parmotrema perlatum;1
Parus major;Linnaeus, 1758;SPECIES;Animalia;Chordata;Aves;Passeriformes;Paridae;Parus;Parus major;2
Passer domesticus;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Passeriformes;Passeridae;Passer;Passer domesticus;1
Pedicularis palustris;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Orobanchaceae;Pedicularis;Pedicularis palustris;2
Pedicularis sylvatica;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Orobanchaceae;Pedicularis;Pedicularis sylvatica;7
Pertusaria leioplaca;DC.;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Pertusariales;Pertusariaceae;Pertusaria;Pertusaria leioplaca;1
Pertusaria pertusa;(Weigel) Tuck.;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Pertusariales;Pertusariaceae;Pertusaria;Pertusaria pertusa;1
Phegopteris connectilis;(Michx.) Watt;SPECIES;Plantae;Pteridophyta;Polypodiopsida;Polypodiales;Thelypteridaceae;Phegopteris;Phegopteris connectilis;4
Phylidorea squalens;(Zetterstedt, [1838]);SPECIES;Animalia;Arthropoda;Insecta;Diptera;Limoniidae;Phylidorea;Phylidorea squalens;1
Phyllitis scolopendrium;(L.) Newman;SPECIES;Plantae;Pteridophyta;Polypodiopsida;Polypodiales;Aspleniaceae;Phyllitis;Phyllitis scolopendrium;3
Phylloscopus trochilus;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Passeriformes;Phylloscopidae;Phylloscopus;Phylloscopus trochilus;1
Physcia caesia;(Hoffm.) FÃ¼rnr.;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Teloschistales;Physciaceae;Physcia;Physcia caesia;1
Physcia tenella;(Scop.) DC.;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Teloschistales;Physciaceae;Physcia;Physcia tenella;1
Pieris napi;(Linnaeus, 1758);SPECIES;Animalia;Arthropoda;Insecta;Lepidoptera;Pieridae;Pieris;Pieris napi;2
Pilosella officinarum;F.W. Schultz & Sch. Bip.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Pilosella;Pilosella officinarum;5
Pinguicula lusitanica;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Lentibulariaceae;Pinguicula;Pinguicula lusitanica;2
Pinguicula vulgaris;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Lentibulariaceae;Pinguicula;Pinguicula vulgaris;4
Placynthiella icmalea;(Ach.) Coppins & P. James;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Baeomycetales;Trapeliaceae;Placynthiella;Placynthiella icmalea;1
Plantago lanceolata;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Plantaginaceae;Plantago;Plantago lanceolata;4
Plantago major;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Plantaginaceae;Plantago;Plantago major;1
Plantago maritima;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Plantaginaceae;Plantago;Plantago maritima;2
Platismatia glauca;(L.) W.L. Culb. & C.F. Culb.;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Platismatia;Platismatia glauca;1
Poa annua;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Poa;Poa annua;3
Poa humilis;Ehrh. ex Hoffm.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Poa;Poa humilis;7
Poa trivialis;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Poa;Poa trivialis;5
Poaceae;;FAMILY;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;;;6
Polygala serpyllifolia;HosÃ©;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Fabales;Polygalaceae;Polygala;Polygala serpyllifolia;3
Polypodium vulgare;L.;SPECIES;Plantae;Pteridophyta;Polypodiopsida;Polypodiales;Polypodiaceae;Polypodium;Polypodium vulgare;3
Polypodium vulgare;;SPECIES_AGGREGATE;Plantae;Pteridophyta;Polypodiopsida;Polypodiales;Polypodiaceae;Polypodium;;1
Populus tremula;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Salicaceae;Populus;Populus tremula;2
Porpidia tuberculosa;(Sm.) Hertel & Knoph;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Lecideales;Lecideaceae;Porpidia;Porpidia tuberculosa;1
Potamogeton polygonifolius;Pourr.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Alismatales;Potamogetonaceae;Potamogeton;Potamogeton polygonifolius;8
Potentilla erecta;(L.) Raeusch.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Potentilla;Potentilla erecta;8
Potentilla palustris;(L.) Scop.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Potentilla;Potentilla palustris;4
Primula vulgaris;Huds.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Ericales;Primulaceae;Primula;Primula vulgaris;2
Prunella modularis;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Passeriformes;Prunellidae;Prunella;Prunella modularis;2
Prunella vulgaris;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Lamiaceae;Prunella;Prunella vulgaris;5
Prunus padus;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Prunus;Prunus padus;1
Pteridium aquilinum;(L.) Kuhn;SPECIES;Plantae;Pteridophyta;Polypodiopsida;Polypodiales;Dennstaedtiaceae;Pteridium;Pteridium aquilinum;6
Punctelia subrudecta s. lat.;;SPECIES_SENSU_LATO;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Punctelia;;1
Pyrrhosoma nymphula;(Sulzer, 1776);SPECIES;Animalia;Arthropoda;Insecta;Odonata;Coenagrionidae;Pyrrhosoma;Pyrrhosoma nymphula;2
Ramalina farinacea;(L.) Ach.;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Ramalinaceae;Ramalina;Ramalina farinacea;1
Ramalina fastigiata;(Pers.) Ach.;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Ramalinaceae;Ramalina;Ramalina fastigiata;1
Ranunculus acris;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ranunculus;Ranunculus acris;4
Ranunculus flammula;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ranunculus;Ranunculus flammula;7
Ranunculus repens;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ranunculus;Ranunculus repens;6
Rhododendron ponticum;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Ericales;Ericaceae;Rhododendron;Rhododendron ponticum;8
Rhynchospora alba;(L.) Vahl;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Cyperaceae;Rhynchospora;Rhynchospora alba;2
Rinodina sophodes;(Ach.) A. Massal.;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Teloschistales;Physciaceae;Rinodina;Rinodina sophodes;1
Rosa canina agg.;;SPECIES_AGGREGATE;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Rosa;;1
Rosa canina;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Rosa;Rosa canina;2
Rosa sherardii;Davies;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Rosa;Rosa sherardii;4
Rosa spinosissima;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Rosa;Rosa spinosissima;4
Roselliniopsis tartaricola;(Linds.) Matzer;SPECIES;Fungi;Ascomycota;Sordariomycetes;Sordariales;;Roselliniopsis;Roselliniopsis tartaricola;1
Rubus boudiccae;A.L. Bull & Edees;MICROSPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Rubus;;2
Rubus fruticosus agg.;;SPECIES_AGGREGATE;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Rubus;;4
Rubus idaeus;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Rubus;Rubus idaeus;2
Rubus leptothyrsos;G. Braun;MICROSPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Rubus;;2
Rubus nemoralis;P.J. MÃ¼ll.;MICROSPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Rubus;;6
Rubus pistoris;W.C. Barton & Ridd.;MICROSPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Rubus;;4
Rubus polyanthemus;Lindeb.;MICROSPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Rubus;;2
Rubus spectabilis;Pursh;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Rubus;Rubus spectabilis;2
Rumex acetosa;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Polygonaceae;Rumex;Rumex acetosa;6
Rumex acetosella;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Polygonaceae;Rumex;Rumex acetosella;5
Sagina procumbens;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Sagina;Sagina procumbens;5
Salix aurita;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix;Salix aurita;6
Salix cinerea subsp. oleifolia;Macreight;SUBSPECIES;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix;Salix cinerea;7
Salix cinerea;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix;Salix cinerea;1
Salmo trutta;Linnaeus, 1758;SPECIES;Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Salmo;Salmo trutta;1
Sanicula europaea;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Apiales;Apiaceae;Sanicula;Sanicula europaea;2
Schoenus nigricans;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Cyperaceae;Schoenus;Schoenus nigricans;3
Sciurus vulgaris;Linnaeus, 1758;SPECIES;Animalia;Chordata;Mammalia;Rodentia;Sciuridae;Sciurus;Sciurus vulgaris;3
Scoliciosporum umbrinum;(Ach.) Arnold;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Scoliciosporaceae;Scoliciosporum;Scoliciosporum umbrinum;1
Scutellaria galericulata;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Lamiaceae;Scutellaria;Scutellaria galericulata;4
Sedum anglicum;Huds.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Saxifragales;Crassulaceae;Sedum;Sedum anglicum;2
Selaginella selaginoides;(L.) P. Beauv.;SPECIES;Plantae;Tracheophyta;Lycopodiopsida;Selaginellales;Selaginellaceae;Selaginella;Selaginella selaginoides;2
Silene dioica;(L.) Clairv.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Silene;Silene dioica;4
Solidago virgaurea;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Solidago;Solidago virgaurea;4
Sorbus arranensis;Hedl.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Sorbus;Sorbus arranensis;17
Sorbus aucuparia;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Sorbus;Sorbus aucuparia;6
Speyeria aglaja;Linnaeus, 1758);SPECIES;Animalia;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Speyeria;Speyeria aglaja;2
Stachys sylvatica;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Lamiaceae;Stachys;Stachys sylvatica;2
Stellaria alsine;Grimm;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Stellaria;Stellaria alsine;2
Stellaria holostea;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Stellaria;Stellaria holostea;2
Stellaria media;(L.) Vill.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Stellaria;Stellaria media;2
Stereocaulon evolutum;Graewe;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Stereocaulaceae;Stereocaulon;Stereocaulon evolutum;1
Stereocaulon vesuvianum var. vesuvianum;Pers.;VARIETY;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Stereocaulaceae;Stereocaulon;Stereocaulon vesuvianum;1
Sturnus vulgaris;Linnaeus, 1758;SPECIES;Animalia;Chordata;Aves;Passeriformes;Sturnidae;Sturnus;Sturnus vulgaris;1
Succisa pratensis;Moench;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Dipsacales;Caprifoliaceae;Succisa;Succisa pratensis;8
Sylvia atricapilla;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Passeriformes;Sylviidae;Sylvia;Sylvia atricapilla;1
Sympetrum danae;(Sulzer, 1776);SPECIES;Animalia;Arthropoda;Insecta;Odonata;Libellulidae;Sympetrum;Sympetrum danae;4
Sympetrum striolatum;(Charpentier, 1840);SPECIES;Animalia;Arthropoda;Insecta;Odonata;Libellulidae;Sympetrum;Sympetrum striolatum;3
Taraxacum;F.H. Wigg.;GENUS;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Taraxacum;;3
Tephromela atra var. atra;(Huds.) Hafellner;VARIETY;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Mycoblastaceae;Tephromela;Tephromela atra;1
Teucrium scorodonia;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Lamiaceae;Teucrium;Teucrium scorodonia;4
Thymus polytrichus subsp. britannicus;(Ronniger) KerguÃ©len;SUBSPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Lamiaceae;Thymus;Thymus polytrichus;3
Trapeliopsis gelatinosa;(FlÃ¶rke) Coppins & P. James;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Baeomycetales;Trapeliaceae;Trapeliopsis;Trapeliopsis gelatinosa;1
Trapeliopsis granulosa;(Hoffm.) Lumbsch;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Baeomycetales;Trapeliaceae;Trapeliopsis;Trapeliopsis granulosa;1
Tremolecia atrata;(Ach.) Hertel;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Hymeneliales;Hymeneliaceae;Tremolecia;Tremolecia atrata;1
Trichophorum caespitosum;(L.) Hartm.;SPECIES_SENSU_LATO;Plantae;Tracheophyta;Magnoliopsida;Poales;Cyperaceae;Trichophorum;;3
Trichophorum germanicum;(Palla) Hegi;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Cyperaceae;Trichophorum;Trichophorum germanicum;1
Trifolium repens;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Trifolium;Trifolium repens;8
Tringa totanus;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Charadriiformes;Scolopacidae;Tringa;Tringa totanus;1
Troglodytes troglodytes;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Passeriformes;Troglodytidae;Troglodytes;Troglodytes troglodytes;3
Turdus merula;Linnaeus, 1758;SPECIES;Animalia;Chordata;Aves;Passeriformes;Turdidae;Turdus;Turdus merula;1
Turdus philomelos;Brehm, CL, 1831;SPECIES;Animalia;Chordata;Aves;Passeriformes;Turdidae;Turdus;Turdus philomelos;2
Tyto alba;(Scopoli, 1769);SPECIES;Animalia;Chordata;Aves;Strigiformes;Tytonidae;Tyto;Tyto alba;1
Ulex europaeus;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Ulex;Ulex europaeus;6
Umbilicus rupestris;(Salisb.) Dandy;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Saxifragales;Crassulaceae;Umbilicus;Umbilicus rupestris;2
Urtica dioica;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Urticaceae;Urtica;Urtica dioica;5
Usnea subfloridana;Stirt.;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Usnea;Usnea subfloridana;1
Vaccinium myrtillus;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Ericales;Ericaceae;Vaccinium;Vaccinium myrtillus;8
Valeriana officinalis;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Dipsacales;Caprifoliaceae;Valeriana;Valeriana officinalis;2
Veronica chamaedrys;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Plantaginaceae;Veronica;Veronica chamaedrys;3
Veronica officinalis;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Plantaginaceae;Veronica;Veronica officinalis;6
Veronica serpyllifolia;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Plantaginaceae;Veronica;Veronica serpyllifolia;3
Vicia sepium;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vicia;Vicia sepium;2
Viola palustris;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Violaceae;Viola;Viola palustris;6
Viola riviniana;Rchb.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Violaceae;Viola;Viola riviniana;6
Xanthoparmelia conspersa;(Ehrh. ex Ach.) Hale;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Xanthoparmelia;Xanthoparmelia conspersa;1
Xanthoria parietina;(L.) Th. Fr.;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Teloschistales;Teloschistaceae;Xanthoria;Xanthoria parietina;1
Xanthoria ucrainica;S.Y. Kondr.;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Teloschistales;Teloschistaceae;Xanthoria;Xanthoria ucrainica;1
